,Country Name,Country Code,Year,GDP (current US$),GDP growth (annual %),"GNI, Atlas method (current US$)",Gross capital formation (% of GDP),High-technology exports (% of manufactured exports),"Immunization, measles (% of children ages 12-23 months)",Income share held by lowest 20%,"Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)",Population growth (annual %),Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"School enrollment, primary and secondary (gross), gender parity index (GPI)","Total debt service (% of exports of goods, services and primary income)",income,gdp_growth,inequality,inflation,life_exp,poverty,school_enroll,income_num,gdp_growth_num,inequality_num,inflation_num,life_exp_num,poverty_num,school_enroll_num
0,Afghanistan,AFG,2015,19134221644.7325,1.45131466066431,20114103580.5321,,,62.0,,22.1240424906926,2.44756300147404,62.27,3.11995924146907,,,0.6423299908638,3.29960835203606,low,low,,high,very low,,very low,1.0,1.0,2.0,3.0,0.0,1.0,0.0
1,Afghanistan,AFG,2016,18116572395.0772,2.26031420279821,19449602244.5449,,,64.0,,10.4668076938201,-2.19752646733461,62.646,2.53571991833963,,54.5,0.645669996738434,4.333403208221,low,low,,very high,very low,,very low,1.0,1.0,2.0,4.0,0.0,1.0,0.0
2,Afghanistan,AFG,2017,18753456497.8159,2.6470032027451,19032212583.775,,,64.0,,10.0518739969063,2.40365618765746,62.406,2.80833730805469,,,0.641690015792847,4.35357201508207,low,medium,,high,very low,,very low,1.0,2.0,2.0,3.0,0.0,1.0,0.0
3,Afghanistan,AFG,2018,18053222687.4126,1.18922812944517,19092091282.3498,,0.0,66.0,,13.3872469597976,2.07134857783487,62.443,2.91080959861384,,,0.636020004749298,3.32380000211032,low,low,,high,very low,,very low,1.0,1.0,2.0,3.0,0.0,1.0,0.0
4,Afghanistan,AFG,2019,18799444490.1128,3.91160341625552,19698775580.2624,,0.0,57.0,,14.0581123697768,6.52147984832531,62.941,2.98438913621969,,47.1,,2.97423809266455,low,high,,low,very low,,,1.0,3.0,2.0,1.0,0.0,1.0,2.0
5,Afghanistan,AFG,2020,19955929052.1496,-2.35110067203466,19236860322.2919,11.5,,57.0,,12.9525996015547,6.9629462552564,61.454,3.15360920291972,,,,2.67397501265809,low,very low,,low,very low,,,1.0,0.0,2.0,1.0,0.0,1.0,2.0
6,Afghanistan,AFG,2021,14259995441.0759,-20.7388393676343,15384996781.5891,13.0,,51.0,,14.2736570191788,2.83899625081041,60.417,2.35609779179185,,,,,low,very low,,medium,very low,,,1.0,0.0,2.0,2.0,0.0,1.0,2.0
7,Afghanistan,AFG,2022,14497243872.1337,-6.24017199240269,14887595113.2198,16.7,,56.0,,16.0503677223963,9.40623933931322,65.617,1.43570437048699,,,,,low,very low,,very low,low,,,1.0,0.0,2.0,0.0,1.0,1.0,2.0
8,Afghanistan,AFG,2023,17152234636.8715,2.26694373649188,15544811236.1544,15.2924823859473,,55.0,,13.4498227120978,2.92366213121669,66.035,2.13559384981397,,,,,low,low,,medium,low,,,1.0,1.0,2.0,2.0,1.0,1.0,2.0
9,Afghanistan,AFG,2024,,,,,,55.0,,,,,2.83657317243522,,,,,,,,,,,,2.0,,,,,,
